"time","value","userid"
2019-01-10 00:24:57,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:25:12,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:25:17,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:25:32,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:25:47,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:02,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:07,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:22,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:32,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:37,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:26:52,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:02,52,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:07,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:14,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:24,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:34,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:39,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:49,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:54,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:27:59,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:14,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:24,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:39,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:44,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:49,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:28:54,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:04,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:09,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:14,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:29,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:44,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:29:49,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:04,47,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:19,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:24,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:34,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:49,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:30:59,48,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:31:14,49,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:31:19,50,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:31:26,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:31:41,51,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
2019-01-10 00:31:56,71,"cf518ed4-ed66-449d-a8ca-14cee26e80a9"
